codigo_it;codfabrica_it;producto_it;grupolista_it;marka_it;fabricante_it;precom_it;monelista_it;pv01_it;pv02_it;pv03_it;img_it;stockmin_it;lugar_al_it;view01_it;view02_it;view03_it;view04_it;time_entrega_it;msjpublico_it;obscompra_it;;;;;;;;;;;;;
37;PRO-PAN;PROTECTOR PANTALLA LAPTOP;;PRO-PAN;;10;S;15;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
38;SO-NASO;SONDA NASOG?STRICA;;SO-NASO;;80;S;110;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
39;CDP;SUPRESOR DE PICO CDP  6 SALIDAS;;CDP;;20;S;25;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
40;10MOONS;TABLETA GR?FICA 10MOONS;;10MOONS;;135;S;139;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
41;HA-407C;TECLADO COMBO GAMER 3 EN 1 CUSTER HA-407C LED HALION;;HA-407C;;63.03;S;72;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
42;HA-K210W;TECLADO COMBO TECLADO Y MOUSE INALAMBRICO HA-K210W HALION;;HA-K210W;;52.34;S;59;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
43;HA-K617;TECLADO GAMER HALION HA-K617 STRATOS RGB;;HA-K617;;67.614;S;77;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
44;HA-K807;TECLADO GAMER HALION OPTIMUS HA-K807 RAINBOW;;HA-K807;;43.548;S;49;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
45;HA-K911;TECLADO GAMER MECANICO HALION CASTOR HA-K911 LED;;HA-K911;;76.4;S;86;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
46;HA-KG927;TECLADO GAMER MECANICO HALION SPECTRE HA-KG927 RGB;;HA-KG927;;147.07;S;157;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
47;HA-K901;TECLADO MULTM. HALION HA-K901 USB;;HA-K901;;19.8;S;25;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
48;HA-K706;TECLADO STD. HALION HA-K706 USB;;HA-K706;;17.9;S;22;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
49;;TINTA CANON 190 CMY;;;;35;S;45;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
50;;TINTA CANON 190 NEGRO K;;;;37;S;47;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
51;;TINTA CANON/T  P-190 PREMIUM CMY;;;;10;S;15;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
52;;TINTA CANON/T P-190 PREMIUM NEGRO K;;;;13;S;18;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
53;;TINTA EPSON 664 CMYK;;;;34;S;44;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
54;;TINTA EPSON/T T-664 PREMIUM CMYK;;;;10;S;15;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
55;;"CABLE ""V8"" y ""C"" (CAJA/TRANSPARENCIA) ROMAX ";;;;7;S;12;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
56;;CABLE C (CAJITA);;;;3;S;6;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
57;;"CABLE ""V8"" EWTTO BOLSA";;;;3;S;6;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
58;;CARGADOR V8;;;;11;S;25;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
59;HUA-SAM;CARGADOR C VARIAS MARCAS - BOLSA;;HUA-SAM;;12;S;23;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
60;64KIN-USB;MEMORIA USB 64 GB. KINGSTON;;64KIN-USB;;18;S;30;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
61;128KIN-USB;MEMORIA USB 128 GB. KINGSTON;;128KIN-USB;;35;S;55;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
62;64HP-USB;MEMORIA USB 64 GB.  HP;;64HP-USB;;21;S;32;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
63;82MS;CALCULADORA 82MS CIENT?FICA;;82MS;;8;S;25;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
64;64KIN-MSD;MEMORIA MSD 64 KINGSTON;;64KIN-MSD;;19;S;30;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
65;128KIN-MSD;MEMORIA MSD 128 KINGSTON;;128KIN-MSD;;39;S;65;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
66;234F;EMERGENCIA 01;4;HALION EMRGENCIA;HALIO  XX;0;S;0;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
67;;RELOJ VARON;;;;14;S;20;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
69;SUPER BASS;AUDIFONO EWTO SUPER BASS;;;;0;S;0;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
70;AA;PILAS AA DURACELL;;DURACELL;;0;S;0;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
71;B.12V.;PILAS BATERIA 12V.;;DURACELL;;0;S;0;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
72;;PILAS TOSHIIBA;;TOSHIBA;;0;S;0;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
73;B.12V.;PILAS BATERIA 12V.;;DURACELL;;0;S;0;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
74;SUPER BASS;AUDIFONO EWTO SUPER BASS;;;;5;S;9;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
75;DEVIL M908;MOUSE GAMER HALION DEVIL HA-908 USB;;;;0;S;47.98;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
76;M426;MOUSE GAMER HALION DINO HA-M426 7LED;;;;0;S;27.76;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
77;M534;MOUSE GAMER HALION ROCKER HA-M534 8B;;;;0;S;57.28;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
78;M1965;MOUSE SURF HALION HA-M1965 VER/NAR/AMA;;;;0;S;16.95;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
79;M1956;MOUSE TRON HA-M1956 HALION NEGRO;;;;0;S;15.69;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
80;K126;TECLADO MINI HALION HA-K126;;;;0;S;36.61;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
81;K640;TECLADO GAMER HALION HA-K640;;;;0;S;51.38;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
86;Q07;SELFI BLUETOO;;;;14;S;22;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
87;3 78CM;SELFI SIMPLE;;;;3.5;S;6;0;0;;0;;S;;;;;;;;;;;;;;;;;;;
