;;HA-912;MOUSE GAMER HALION SPIDER HA-912;;HA-912;;21.78;S;28.00;;;;;;S;;;;;;
;;M-30;MOUSE GAMER YELANDAR M30;;M-30;;8;S;15.00;;;;;;S;;;;;;
;;HA-M812;MOUSE STD SANTORO HA-M812 HALION USB NG/AZUL;;HA-M812;;4.86;S;6.32;;;;;;S;;;;;;
;;HA-M1965/56;MOUSE STD SURF/TRON HA-M1956/1965;;HA-M1965/56;;9.72;S;11.00;;;;;;S;;;;;;
;;HA-M2125;MOUSE WIRELEES ARIES HA-M2125 HALION NEGRO;;HA-M2125;;11.16;S;14.51;;;;;;S;;;;;;
;;MP-14 RGB;PAD MOUSE GAMER MP-14 RGB 35x25x3cm MARCA HALION;;MP-14 RGB;;34.38;S;41.00;;;;;;S;;;;;;
;;MP-15 RGB;PAD MOUSE+TEC GAMER MP-15 RGB 80x30x3CM EN CAJA HALION;;MP-15 RGB;;56;S;62.00;;;;;;S;;;;;;
;;HA-S35W;PARLANTE BARRA DE SONIDO HALION HA-S35W,HDMI,2.1,OP,CR 120W;;HA-S35W;;219.6;S;259.00;;;;;;S;;;;;;
;;HA-S40C;PARLANTE BARRA DE SONIDO HALION HA-S40C + SUBWOOFER;;HA-S40C;;241.2;S;289.00;;;;;;S;;;;;;
;;SK-600;PARLANTE BARRA GAMER USB  XTRIKE ME SK-600 RGB;;SK-600;;S/ 59.25;S;68.00;;;;;;S;;;;;;
;;YP-01B;PARLANTE BLUETOOTH (JBL) YP-01B;;YP-01B;;27;S;40.00;;;;;;S;;;;;;
;;H54;PARLANTE BLUETOOTH H54 CAMOUFLAGE HOPESTAR;;H54;;89.81;S;97.00;;;;;;S;;;;;;
;;PHA-208F FLAMA;"PARLANTE GRAN ACTIVO DOBLE 8"" PHA-208F, 1MIC FLAMA 1200W";;PHA-208F FLAMA;;612;S;680.00;;;;;;S;;;;;;
;;HA-2019;"PARLANTE GRAN C/BATERIA HALION HA-2019 FLOW,2x6.5"" 600W";;HA-2019;;325.8;S;423.54;;;;;;S;;;;;;
;;CONTOMETRO;ROLLOS PAPEL CONTOMETRO;;CONTOMETRO;;;S;8.00;;;;;;S;;;;;;
;;Q07;SELFIE BLUETOOTH Q07;;Q07;;14;S;20.00;;;;;;S;;;;;;
;;SELF_SIMPLE 3;SELFIE SIMPLE 7cm.;;SELF_SIMPLE 3;;3.5;S;8.00;;;;;;S;;;;;;
;;HA-S51;SILLA GAMER HALION GAMING HA-S51 ROBPT NEGRO;;HA-S51;;587.52;S;649.00;;;;;;S;;;;;;
;;HA-875C;TECLADO GAMER COMBO  HALION 4 EN 1 MACK HA-875C RGB;;HA-875C;;92.34;S;120.04;;;;;;S;;;;;;
;;HA-K640;TECLADO GAMER HALION HA-K640 ;;HA-K640;;31.3;S;41.00;;;;;;S;;;;;;
;;HA-K807 (boton);TECLADO GAMER HALION OPTIMUS HA-K807 (boton);;HA-K807 (boton);;54.72;S;62.00;;;;;;S;;;;;;
;;HA-K932;TECLADO GAMER HALION TOMCAT HA-K932;;HA-K932;;22.86;S;32.00;;;;;;S;;;;;;
;;HA-K635;TECLADO GAMER HALION ULTRON HA-K635, 3LED ;;HA-K635;;21.96;S;31.00;;;;;;S;;;;;;
;;HA-K911;TECLADO GAMER MECANICO HALION CASTOR HA-K911 LED;;HA-K911;;76.4;S;S/ 86.00;;;;;;S;;;;;;
;;HA-KG927;TECLADO GAMER MECANICO HALION SPECTRE HA-KG927 RGB;;HA-KG927;;138.6;S;157.00;;;;;;S;;;;;;
;;HA-K706;TECLADO STD. HALION HA-K706 USB;;HA-K706;;17.9;S;22.00;;;;;;S;;;;;;
;;C2C;CÁMARA EZVIZ C2C FULL HD;;C2C;;;S;140;;;;;;S;;;;;;
;;(blanco);HEADSET BLUETOOTH SUPER BASS EWTTO (blanco);;(blanco);;15;S;25;;;;;;S;;;;;;
;;BOLSA CINTA LED;CINTA LED RGB;;BOLSA CINTA LED;;30;S;40;;;;;;S;;;;;;
;;AA DURACELL X 2;PILAS AA DURACELL 1.5 V. X 2;;AA DURACELL X 2;;4.35;S;8;;;;;;S;;;;;;
;;BAT DURACELL 9V.;BATERIA DURACELL 9 V. X 1;;BAT DURACELL 9V.;;12;S;18;;;;;;S;;;;;;
;;S21;CARGADOR S21 ;;S21;;12;S;25;;;;;;S;;;;;;
;;TPSIBA X 2;PILAS AA TOSHIBA 1.5V X 2 ;;TPSIBA X 2;;1.8;S;3;;;;;;S;;;;;;
;;CAJITA;AUDIFONO CABLE SONY/OTROS CAJITA ;;CAJITA;;10;S;15;;;;;;S;;;;;;
;;64KIN-MSD;MEMORIA MSD 64 KINGSTON;;64KIN-MSD;;;S;30;;;;;;S;;;;;;
;;128KIN-MSD;MEMORIA MSD 128 KINGSTON;;128KIN-MSD;;;S;65;;;;;;S;;;;;;
