id;codigo_it;codfabrica_it;producto_it;marka_it;fabricante_it;precom_it;pje1_it;pje2_it;pje3_it;pje4_it;pjecred1_it;pjecred2_it;pjecred3_it;stockmin_it;lugar_al_it;stock_it;;;;;;;;;
;;HA-8012;GAME PAD WIRELESS HA-8012 NEGRO HALION;HA-8012;;44.694;;;;;;;;;;;47;49;51;54;;;44.694;11.7;44.694
;;STN-28;HEADSET AUDIFONO CAT WIRELESS STN-28;STN-28;;25;;;;;;;;;;;26;28;29;30;44;;;;25
;;STN-27;HEADSET AUDIFONO UNICORNIO WIRELESS STN-27;STN-27;;28;;;;;;;;;;;29;31;32;34;44;;;;28
;;MOD-SONY;HEADSET AUDIFONO WIRELESS COLORFUL (MOD SONY);MOD-SONY;;10;;;;;;;;;;;11;11;12;12;44;;;;10
;;HA-H820;HEADSET GAMER HALION HORNET HA-H820 LED RED USB+3.5;HA-H820;;34.822;;;;;;;;;;;37;38;40;42;43;;42.02;11;34.822
;;S4;HEADSET GAMER HALION S4 COBRA NG/ROJO;S4;;31.324;;;;;;;;;;;33;34;36;38;39;;31.324;8.2;31.324
;;TM-200 RGB;MICROFONO DESKTOP GAMER HALION TM-200 RGB;TM-200 RGB;;35.144;;;;;;;;;;;37;39;40;42;43;;35.144;9.2;35.144
;;TM-08;MICROFONO DESKTOP HALION TM-08 NEGRO PLASTICO;TM-08;;15.96;;;;;;;;;;;17;18;18;19;18;;;4.2;15.96
;;TM-300;MICROFONO PEDESTAL HALION TM-300 SILVER;TM-300;;25.5;;;;;;;;;;;27;28;29;31;30;;;6.7;25.5
;;HA-M930;MOUSE GAMER HALION ASGARD HA-M930 7LED;HA-M930;;21.78;;;;;;;;;;;23;24;25;26;28;;21.774;5.7;21.78
;;HA-M203;MOUSE GAMER HALION OHIO HA-M203 4B LED;HA-M203;;21.78;;;;;;;;;;;23;24;25;26;28;;10.314;5.7;21.78
;;HA-912;MOUSE GAMER HALION SPIDER HA-912;HA-912;;21.78;;;;;;;;;;;23;24;25;26;28;;19.864;5.2;21.78
;;TF-5070N;MOUSE TEROS TF-5070N;TF-5070N;;15;;;;;;;;;;;16;17;17;18;19;;;;15
;;MSC210;PAD MOUSE (RUBBER) DISEÑOS VARIOS 20X24 MSC210;MSC210;;3.4065;;;;;;;;;;;4;4;4;4;;;3.438;0.9;3.4065
;;MP-14 RGB;PAD MOUSE GAMER MP-14 RGB 35x25x3cm MARCA HALION;MP-14 RGB;;34.38;;;;;;;;;;;36;38;40;41;;;34.38;9;34.38
;;MP-15 RGB;PAD MOUSE GAMER MP-15 RGB 80x30x3CM EN CAJA HALION;MP-15 RGB;;56.154;;;;;;;;;;;59;62;65;67;;;56.154;14.7;56.154
;;YP-01B;PARLANTE BLUETOOTH (JBL) YP-01B;YP-01B;;27;;;;;;;;;;;28;30;31;32;40;;;;27
;;HA-2019;"PARLANTE C/BATERIA HALION HA-2019 FLOW,2x6.5"" 600W";HA-2019;;345.6718;;;;;;;;;;;363;380;398;415;379;;345.6718;90.49;345.6718
;;SK-600;PARLANTE GAMER USB BARRA XTRIKE ME SK-600 RGB;SK-600;;59.2482;;;;;;;;;;;62;65;68;71;;;59.2482;15.51;59.2482
;;CR2032;PILAS CR2032 MAINBOARD;CR2032;;1.4;;;;;;;;;;;1;2;2;2;5;;;;1.4
;;H54;PARLANTE H54 CAMOUFLAGE HOPESTAR;H54;;89.8082;;;;;;;;;;;94;99;103;108;;;89.8082;23.51;89.8082
;;PRO-PAN;PROTECTOR PANTALLA LAPTOP;PRO-PAN;;10;;;;;;;;;;;11;11;12;12;;;;;10
;;SO-NASO;SONDA NASOGÁSTRICA;SO-NASO;;;;;;;;;;;;;;;;;;;;;
;;CDP;SUPRESOR DE PICO CDP  6 SALIDAS;CDP;;20;;;;;;;;;;;21;22;23;24;;;;;20
;;10MOONS;TABLETA GRÁFICA 10MOONS;10MOONS;;135;;;;;;;;;;;142;149;155;162;139;;;;135
;;HA-407C;TECLADO COMBO GAMER 3 EN 1 CUSTER HA-407C LED HALION;HA-407C;;63.03;;;;;;;;;;;66;69;72;76;;;63.03;16.5;63.03
;;HA-K210W;TECLADO COMBO TECLADO Y MOUSE INALAMBRICO HA-K210W HALION;HA-K210W;;52.34;;;;;;;;;;;55;58;60;63;59;;52.334;13.7;52.34
;;HA-K617;TECLADO GAMER HALION HA-K617 STRATOS RGB;HA-K617;;67.614;;;;;;;;;;;71;74;78;81;77;;67.614;17.7;67.614
;;HA-K807;TECLADO GAMER HALION OPTIMUS HA-K807 RAINBOW;HA-K807;;43.548;;;;;;;;;;;46;48;50;52;;;43.548;11.4;43.548
;;HA-K911;TECLADO GAMER MECANICO HALION CASTOR HA-K911 LED;HA-K911;;76.4;;;;;;;;;;;80;84;88;92;86;;76.4;20;76.4
;;HA-KG927;TECLADO GAMER MECANICO HALION SPECTRE HA-KG927 RGB;HA-KG927;;147.07;;;;;;;;;;;154;162;169;176;157;;147.07;38.5;147.07
;;HA-K901;TECLADO MULTM. HALION HA-K901 USB;HA-K901;;19.8;;;;;;;;;;;21;22;23;24;25;;;;19.8
;;HA-K706;TECLADO STD. HALION HA-K706 USB;HA-K706;;17.9;;;;;;;;;;;19;20;21;21;22;;;;17.9
;;;TINTA CANON 190 CMY;;;35;;;;;;;;;;;37;39;40;42;45;;;;35
;;;TINTA CANON 190 NEGRO K;;;37;;;;;;;;;;;39;41;43;44;47;;;;37
;;;TINTA CANON/T  P-190 PREMIUM CMY;;;10;;;;;;;;;;;11;11;12;12;15;;;;10
;;;TINTA CANON/T P-190 PREMIUM NEGRO K;;;13;;;;;;;;;;;14;14;15;16;18;;;;13
;;;TINTA EPSON 664 CMYK;;;34;;;;;;;;;;;36;37;39;41;44;;;;34
;;;TINTA EPSON/T T-664 PREMIUM CMYK;;;10;;;;;;;;;;;11;11;12;12;15;;;;10
;;;"CABLE ""V8"" y ""C"" (CAJA/TRANSPARENCIA) ROMAX ";;;7;;;;;;;;;;;7;8;8;8;12;;;;7
;;;CABLE C (CAJITA);;;3;;;;;;;;;;;3;3;3;4;6;;;;3
;;;"CABLE ""V8"" EWTTO BOLSA";;;3;;;;;;;;;;;3;3;3;4;6;;;;3
;;;CARGADOR V8;;;11;;;;;;;;;;;12;12;13;13;25;;;;11
;;HUA-SAM;CARGADOR C VARIAS MARCAS - BOLSA;HUA-SAM;;12;;;;;;;;;;;13;13;14;14;23;;;;12
;;64KIN-USB;MEMORIA USB 64 GB. KINGSTON;64KIN-USB;;18;;;;;;;;;;;19;20;21;22;30;;;;18
;;128KIN-USB;MEMORIA USB 128 GB. KINGSTON;128KIN-USB;;35;;;;;;;;;;;37;39;40;42;55;;;;35
;;64HP-USB;MEMORIA USB 64 GB.  HP;64HP-USB;;21;;;;;;;;;;;22;23;24;25;32;;;;21
;;82MS;CALCULADORA 82MS CIENTÍFICA;82MS;;8;;;;;;;;;;;8;9;9;10;25;;;;8
;;64KIN-MSD;MEMORIA MSD 64 KINGSTON;64KIN-MSD;;19;;;;;;;;;;;20;21;22;23;30;;;;19
;;128KIN-MSD;MEMORIA MSD 128 KINGSTON;128KIN-MSD;;39;;;;;;;;;;;41;43;45;47;65;;;;39
